Código,Nombre,Código de Barras,SKU,Servicio,Uses,Costo,Precio,IVA,IEPS,SAT code,Proveedor,Categorías,AppliesTo
276,"""Sujetacable de tela MOSHU TIE color blanco rollo 25 metros x 3/4"""" (2 cm)""","[""SBE-V2X25-WT""]",SBE-V2X25-WT,TRUE,No,,17.36,16,0,31151900,Sbe Tech,Sujetacables de Tela. Plásticos y Espirales,"[""store"",""eshop"",""retailer""]"
277,"""Sujetacable de tela MOSHU TIE color negro rollo 25 metros x 3/4"""" (2 cm)""","[""SBE-V2X25-BK""]",SBE-V2X25-BK,TRUE,No,,17.36,16,0,31151900,Sbe Tech,Sujetacables de Tela. Plásticos y Espirales,"[""store"",""eshop"",""retailer""]"
278,Tijera Ergonómica para cortar Kevlar,"[""SBE-KS-1""]",SBE-KS-1,TRUE,No,,17.85,16,0,43223300,Sbe Tech,Herramientas. Equipos de Medición y Prueba. Limpieza,"[""store"",""eshop"",""retailer""]"
279,Tira de 10 contactos individuales verticales montaje horizontal de 15 amp. con supresor de picos,"[""SBE-TC010SPV""]",SBE-TC010SPV,TRUE,No,,31.50,16,0,43223300,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
280,Tira de 12 contactos individuales verticales montaje vertical,"[""SBE-TC012SPV""]",SBE-TC012SPV,TRUE,No,,37.01,16,0,43223300,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
281,Tira de 20 contactos individuales verticales montaje vertical,"[""SBE-TC020SPV""]",SBE-TC020SPV,TRUE,No,,47.25,16,0,43223300,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
282,"""Tira de 6 cont.  Indiv. verticales. montaje horizontal. cable 2 mts. c/sup. picos. 19""""""","[""SBE-TC006VSP""]",SBE-TC006VSP,TRUE,No,,22.31,16,0,43223300,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
283,Toallitas Húmedas. paquete con 5 piezas,"[""SBE-F10""]",SBE-F10,TRUE,No,,1.17,16,0,43223300,Sbe Tech,Herramientas. Equipos de Medición y Prueba. Limpieza,"[""store"",""eshop"",""retailer""]"
284,Ventilador 1 pieza,"[""SBE-J1VENTN127V""]",SBE-J1VENTN127V,TRUE,No,,14.00,16,0,40101600,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
285,Ventilador 2 pieza,"[""SBE-J2VENTN127V""]",SBE-J2VENTN127V,TRUE,No,,20.50,16,0,40101600,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
