CÃ³digo,Tags
119,GNL20UR|GABINETE 800|TUERCAS ENJAULADAS|CHAROLA SBE-CF1918V|GABINETE PISO|VENTILADOR 2
120,GNL24UR|GABINETE 800|TUERCAS ENJAULADAS|CHAROLA SBE-CF1918V|GABINETE PISO|VENTILADOR 2
121,GNL26UR|GABINETE 800|TUERCAS ENJAULADAS|CHAROLA SBE-CF1918V|GABINETE PISO|VENTILADOR 2
122,GNL42UR|GABINETE 800|TUERCAS ENJAULADAS|CHAROLA SBE-CF1918V|GABINETE PISO|VENTILADOR 2
123,GNL42UR6X8V|GABINETE 800|TUERCAS ENJAULADAS|CHAROLA SBE-CF1918V|GABINETE PISO|VENTILADOR 2
124,GNL42URP800|GABINETE 1M|TUERCAS ENJAULADAS|GABINETE PISO|CHAROLA CF1929V|VENTILADOR 2
125,GNL42URV800|GABINETE 1M|TUERCAS ENJAULADAS|GABINETE PISO|CHAROLA CF1929V|VENTILADOR 2
126,GNL42URP8001.2P|GABINETE 1M|TUERCAS ENJAULADAS|GABINETE PISO|CHAROLA CF1929V|VENTILADOR 2
127,GNL42URV8001.2P|GABINETE 1M|TUERCAS ENJAULADAS|GABINETE PISO|CHAROLA CF1929V|VENTILADOR 2
128,KHIMP|HERRAMIENTA IMPACTO|JACK CAT5E|JACK CAT6|JACK CAT6A|HERRAMIENTA COBRE
129,BLANK-WT|INCERTO CIEGO|PLACA CAT6|PLACA CAT5E
130,2302-BL|UTP CAT5E|PLACA CAT5E|CAJA UNIVERSAL REFORZADA
131,2302-WT|UTP CAT5E|PLACA CAT5E|CAJA UNIVERSAL REFORZADA
132,JACKC6-BL|UTP CAT6|PLACA CAT6|CAJA UNIVERSAL REFORZADA
133,JACKC6-WT|UTP CAT6|PLACA CAT6|CAJA UNIVERSAL REFORZADA
134,JACKC6-BK|UTP CAT6|PLACA CAT6|CAJA UNIVERSAL REFORZADA
135,JACKC6-RD|UTP CAT6|PLACA CAT6|CAJA UNIVERSAL REFORZADA
136,JACKC6AS-BL|UTP CAT6|PLACA CAT6|CAJA UNIVERSAL REFORZADA
137,JACKC6A-BL|UTP CAT6A|PLACA CAT6A|CAJA UNIVERSAL REFORZADA
138,JACKC6A-WT|UTP CAT6A|PLACA CAT6A|CAJA UNIVERSAL REFORZADA
139,JTE1224N|GABINETE PISO|GABINETES PARED|TUERCAS ENJAULADAS|CHAROLA CF1929V|CHAROLA CF1915V|CHAROLA CF1918V
140,PIGLC2M50M412P|FIBRA OPTICA MM|FOINE125010G|CDEXTFTTX2X48NL|CORTADORA FIBRA|PINZA CORTADORA|CTFO4PNL|MANGAS 60
141,PIGSC2MSM12P|FIBRA OPTICA SM|FOINE12SM|CDEXTFTTX2X48NL|CORTADORA FIBRA|PINZA CORTADORA|CTFO4PNL|MANGAS 60
142,JTACERO|RACK 7|GABINETE PARED|TORNILLOS RACK|CT1910|C1914|C1918
143,PIGLC2M50M46P|FIBRA OPTICA MM|FOINE65010G|CDEXTFTTX2X48NL|CORTADORA FIBRA|PINZA CORTADORA|CTFO4PNL|MANGAS 60
144,PIGSC2M50M46P|FIBRA OPTICA MM|FOINE65010G|CDEXTFTTX2X48NL|CORTADORA FIBRA|PINZA CORTADORA|CTFO4PNL|MANGAS 60
145,PIGSC2MSM6P|FIBRA OPTICA MM|FOINE65010G|CDEXTFTTX2X48NL|CORTADORA FIBRA|PINZA CORTADORA|CTFO4PNL|MANGAS 60
146,PIGLC2MSM6P|FIBRA OPTICA MM|FOINE6SM|CDEXTFTTX2X48NL|CORTADORA FIBRA|PINZA CORTADORA|CTFO4PNL|MANGAS 60|ADAPLC-SC-S
147,JUMLC-LC-1M50|CDEXTFTTX2X48NL|CTFO4PNL|ADAPLC-SC-S|DISTRIBUIDOR 18D
148,JUMLC-LC-2M50|CDEXTFTTX2X48NL|CTFO4PNL|ADAPLC-SC-S|DISTRIBUIDOR 18D
149,JUMLC-LC-3M50|CDEXTFTTX2X48NL|CTFO4PNL|ADAPLC-SC-S|DISTRIBUIDOR 18D
150,JUMLC-SC-1M50|CDEXTFTTX2X48NL|CTFO4PNL|ADAPLC-SC-S|DISTRIBUIDOR 18D
151,JUMLC-SC-2M50|CDEXTFTTX2X48NL|CTFO4PNL|ADAPLC-SC-S|DISTRIBUIDOR 18D
152,JUMLC-SC-3M50|CDEXTFTTX2X48NL|CTFO4PNL|ADAPLC-SC-S|DISTRIBUIDOR 18D
153,JUSCAPCSCAPC2MSM|CDEXTFTTX2X48NL|CTFO4PNL|ADAPSCAPC-S|DISTRIBUIDOR 18D
154,JUMSC-SCAPC-2MSM|CDEXTFTTX2X48NL|CTFO4PNL|ADAPSCAPC-S|DISTRIBUIDOR 18D
155,JUMSC-SC-2M50|CDEXTFTTX2X48NL|CTFO4PNL|ADAPSC-S|DISTRIBUIDOR 18D
156,JUMSC-SC-3M50|CDEXTFTTX2X48NL|CTFO4PNL|ADAPSC-S|DISTRIBUIDOR 18D
157,JUMSC-SC-2M-SM|CDEXTFTTX2X48NL|CTFO4PNL|ADAPSC-S|DISTRIBUIDOR 18D
158,JUMSC-SC-3M-SM|CDEXTFTTX2X48NL|CTFO4PNL|ADAPSC-S|DISTRIBUIDOR 18D
159,JUMSC-SC-1M-SMD|CDEXTFTTX2X48NL|CTFO4PNL|ADAPSC-S|DISTRIBUIDOR 18D
160,JUMSC-SC-2M-SMD|CDEXTFTTX2X48NL|CTFO4PNL|ADAPSC-S|DISTRIBUIDOR 18D
161,JUMSC-SCAPC-2M-SMD|CDEXTFTTX2X48NL|CTFO4PNL|ADAPSCAPC-S|DISTRIBUIDOR 18D
162,F3033|KIT FIBRA|HERRAMIENTA FIBRA
163,1CLICKLC/MU|LIMPIADOR FIBRA|HERRAMIENTA LIMPIEZA FIBRA
164,1CLICKSC/ST/FC|LIMPIADOR FIBRA|HERRAMIENTA LIMPIEZA FIBRA
165,EM10K|LOCALIZADOR|HERRAMIENTA FIBRA
166,HESL50|MANGAS 50|DISTRIBUIDOR 18D|PIGSCAPC2MSM
167,HESL60|MANGAS 60|DISTRIBUIDOR 18D|PIGSCAPC2MSM
168,MP292302-10K|MEDIDOR|HERRAMIENTA FIBRA
169,EM200X|MICROSCOPIO|HERRAMIENTA FIBRA
170,N110|NAVAJA|HERRAMIENTA IMPACTO|HERRAMIENTA COBRE
171,OP10010070|CAJA TAPA OPACA|SUJETACABLES TELA|SUJETACABLES NYLON
172,OP15011070|CAJA TAPA OPACA|SUJETACABLES TELA|SUJETACABLES NYLON
173,OP19014070|CAJA TAPA OPACA|SUJETACABLES TELA|SUJETACABLES NYLON
174,OP300220120|CAJA TAPA OPACA|SUJETACABLES TELA|SUJETACABLES NYLON
175,OP380300120|CAJA TAPA OPACA|SUJETACABLES TELA|SUJETACABLES NYLON
176,OH2URD|RACK 7|RACK 4|TORNILLOS RACK|VELCRO|ESPIRAL|ORGANIZADOR HORIZONTAL
177,OV20UR|RACK 7|RACK 4|TORNILLOS RACK|SUJETACABLES TELA|ESPIRAL|ORGANIZADOR HORIZONTAL|ORGANIZADOR VERTICAL
178,OV20URS|RACK 7|RACK 4|TORNILLOS RACK|SUJETACABLES TELA|ESPIRAL|ORGANIZADOR HORIZONTAL|ORGANIZADOR VERTICAL
179,OV40UR|RACK 7|RACK 4|TORNILLOS RACK|SUJETACABLES TELA|ESPIRAL|ORGANIZADOR HORIZONTAL|ORGANIZADOR VERTICAL
180,OV40URS|RACK 7|RACK 4|TORNILLOS RACK|SUJETACABLES TELA|ESPIRAL|ORGANIZADOR HORIZONTAL|ORGANIZADOR VERTICAL
181,OVNL22.5UR|RACK 7|RACK 4|TORNILLOS RACK|SUJETACABLES TELA|ESPIRAL|ORGANIZADOR HORIZONTAL|ORGANIZADOR VERTICAL
182,OVNL22.5URS|RACK 7|RACK 4|TORNILLOS RACK|SUJETACABLES TELA|ESPIRAL|ORGANIZADOR HORIZONTAL|ORGANIZADOR VERTICAL
183,OVNL45UR|RACK 7|RACK 4|TORNILLOS RACK|SUJETACABLES TELA|ESPIRAL|ORGANIZADOR HORIZONTAL|ORGANIZADOR VERTICAL
184,OVNL45URS|RACK 7|RACK 4|TORNILLOS RACK|SUJETACABLES TELA|ESPIRAL|ORGANIZADOR HORIZONTAL|ORGANIZADOR VERTICAL
185,OH1UR|RACK 7|RACK 4|TORNILLOS RACK|SUJETACABLES TELA|ESPIRAL|ORGANIZADOR HORIZONTAL
